手机号码	FXS端口	默认路由计划	高级路由计划	低级路由计划	绑定IP账号数量	来显方式	反极控制	业务密码	注册密码	号码业务	DID1	DID2	DID3	彩铃	用户类别（1-15）	FXS帐号	ip帐号	短号	号码闭塞(0-禁用,1-启用)	收号方式(0-DSP,1-SLIC)	呼叫频度
670100		高级路由计划	默认		0	0	0	0157	0157					0	1		670100		0	1	0
670101		高级路由计划	默认		0	0	0	686386112466	686386112466					0	1		670101		0	1	0
670102		高级路由计划	默认		0	0	0	fluz	fluz					0	1		670102		0	1	0
670103		高级路由计划	默认		0	0	0	citqxlkktcsc	citqxlkktcsc					0	1		670103		0	1	0
670104		高级路由计划	默认		0	0	0	BPOP	BPOP					0	1		670104		0	1	0
670105		高级路由计划	默认		0	0	0	XQSTXLCDMFJJ	XQSTXLCDMFJJ					0	1		670105		0	1	0
670106		高级路由计划	默认		0	0	0	vJwl	vJwl					0	1		670106		0	1	0
670107		高级路由计划	默认		0	0	0	QRXOwNNuexbz	QRXOwNNuexbz					0	1		670107		0	1	0
670108		高级路由计划	默认		0	0	0	]%{'	]%{'					0	1		670108		0	1	0
670109		高级路由计划	默认		0	0	0	#\~~-+}~<=@`	#\~~-+}~<=@`					0	1		670109		0	1	0
670110		高级路由计划	默认		0	0	0	0XoI	0XoI					0	1		670110		0	1	0
670111		高级路由计划	默认		0	0	0	4U9aO4TONLNr	4U9aO4TONLNr					0	1		670111		0	1	0
670112		高级路由计划	默认		0	0	0	1/*{	1/*{					0	1		670112		0	1	0
670113		高级路由计划	默认		0	0	0	-/1(\.}.&=5_	-/1(\.}.&=5_					0	1		670113		0	1	0
670114		高级路由计划	默认		0	0	0	S]O{	S]O{					0	1		670114		0	1	0
670115		高级路由计划	默认		0	0	0	(QM^]LBp#*>~	(QM^]LBp#*>~					0	1		670115		0	1	0
670116		高级路由计划	默认		0	0	0	9d:i	9d:i					0	1		670116		0	1	0
670117		高级路由计划	默认		0	0	0	8q`Mm\9q/Tw^	8q`Mm\9q/Tw^					0	1		670117		0	1	0
670118		高级路由计划	默认		0	0	0	776613	776613					0	1		670118		0	1	0
670119		高级路由计划	默认		0	0	0	lwsedx	lwsedx					0	1		670119		0	1	0
670120		高级路由计划	默认		0	0	0	TNSQTS	TNSQTS					0	1		670120		0	1	0
670121		高级路由计划	默认		0	0	0	kEzEEZ	kEzEEZ					0	1		670121		0	1	0
670122		高级路由计划	默认		0	0	0	~?]?(#	~?]?(#					0	1		670122		0	1	0
670123		高级路由计划	默认		0	0	0	52dYDE	52dYDE					0	1		670123		0	1	0
670124		高级路由计划	默认		0	0	0	35$.!^	35$.!^					0	1		670124		0	1	0
670125		高级路由计划	默认		0	0	0	#(bx$M	#(bx$M					0	1		670125		0	1	0
670126		高级路由计划	默认		0	0	0	DnT63}	DnT63}					0	1		670126		0	1	0
670127		高级路由计划	默认		0	0	0	77178210	77178210					0	1		670127		0	1	0
670128		高级路由计划	默认		0	0	0	rfbtczly	rfbtczly					0	1		670128		0	1	0
670129		高级路由计划	默认		0	0	0	HBSQRLDR	HBSQRLDR					0	1		670129		0	1	0
670130		高级路由计划	默认		0	0	0	CpVxlvwZ	CpVxlvwZ					0	1		670130		0	1	0
670131		高级路由计划	默认		0	0	0	|!"'^!_:	|!"'^!_:					0	1		670131		0	1	0
670132		高级路由计划	默认		0	0	0	2WcZ9NTL	2WcZ9NTL					0	1		670132		0	1	0
670133		高级路由计划	默认		0	0	0	{2(7:&`]	{2(7:&`]					0	1		670133		0	1	0
670134		高级路由计划	默认		0	0	0	zoo'CH?:	zoo'CH?:					0	1		670134		0	1	0
670135		高级路由计划	默认		0	0	0	d8%7I%Co	d8%7I%Co					0	1		670135		0	1	0
670136		高级路由计划	默认		0	0	0	7722098955	7722098955					0	1		670136		0	1	0
670137		高级路由计划	默认		0	0	0	ymvvcswkra	ymvvcswkra					0	1		670137		0	1	0
670138		高级路由计划	默认		0	0	0	AOAACVZEYB	AOAACVZEYB					0	1		670138		0	1	0
670139		高级路由计划	默认		0	0	0	VixBKAqNmP	VixBKAqNmP					0	1		670139		0	1	0
670140		高级路由计划	默认		0	0	0	>:];`$<(*-	>:];`$<(*-					0	1		670140		0	1	0
670141		高级路由计划	默认		0	0	0	6Me2HcZHai	6Me2HcZHai					0	1		670141		0	1	0
670142		高级路由计划	默认		0	0	0	_|[*;[\5(-	_|[*;[\5(-					0	1		670142		0	1	0
670143		高级路由计划	默认		0	0	0	)v^xVg+?^Y	)v^xVg+?^Y					0	1		670143		0	1	0
670144		高级路由计划	默认		0	0	0	k~0g`I6Q:s	k~0g`I6Q:s					0	1		670144		0	1	0
670145		高级路由计划	默认		0	0	0	2b:c_|dc-T	2b:c_|dc-T					0	1		670145		0	1	0
670146		高级路由计划	默认		0	0	0	>-c)	>-c)					0	1		670146		0	1	0
670147		高级路由计划	默认		0	0	0	*W*n}	*W*n}					0	1		670147		0	1	0
670148		高级路由计划	默认		0	0	0	wN+5YJU	wN+5YJU					0	1		670148		0	1	0
670149		高级路由计划	默认		0	0	0	oyI#X[	oyI#X[					0	1		670149		0	1	0
670150		高级路由计划	默认		0	0	0	bni/5xqWN]	bni/5xqWN]					0	1		670150		0	1	0
670151		高级路由计划	默认		0	0	0	7q>obj}	7q>obj}					0	1		670151		0	1	0
670152		高级路由计划	默认		0	0	0	_,EigbF	_,EigbF					0	1		670152		0	1	0
670153		高级路由计划	默认		0	0	0	yS60F%8Pv8(S	yS60F%8Pv8(S					0	1		670153		0	1	0
670154		高级路由计划	默认		0	0	0	];X<r	];X<r					0	1		670154		0	1	0
670155		高级路由计划	默认		0	0	0	>~$N\,	>~$N\,					0	1		670155		0	1	0
670156		高级路由计划	默认		0	0	0	TaC'/h6W	TaC'/h6W					0	1		670156		0	1	0
670157		高级路由计划	默认		0	0	0	@chb`&CP	@chb`&CP					0	1		670157		0	1	0
670158		高级路由计划	默认		0	0	0	Tan'S	Tan'S					0	1		670158		0	1	0
670159		高级路由计划	默认		0	0	0	LmEa0:=uZ	LmEa0:=uZ					0	1		670159		0	1	0
670160		高级路由计划	默认		0	0	0	;M3i	;M3i					0	1		670160		0	1	0
670161		高级路由计划	默认		0	0	0	L$;z9Ak	L$;z9Ak					0	1		670161		0	1	0
670162		高级路由计划	默认		0	0	0	`f|ED)A4	`f|ED)A4					0	1		670162		0	1	0
670163		高级路由计划	默认		0	0	0	IO.&X>H	IO.&X>H					0	1		670163		0	1	0
670164		高级路由计划	默认		0	0	0	G>l&{<	G>l&{<					0	1		670164		0	1	0
670165		高级路由计划	默认		0	0	0	+BQ/$gV*;r?3	+BQ/$gV*;r?3					0	1		670165		0	1	0
670166		高级路由计划	默认		0	0	0	'R?oNR+|Y	'R?oNR+|Y					0	1		670166		0	1	0
670167		高级路由计划	默认		0	0	0	\"M`	\"M`					0	1		670167		0	1	0
670168		高级路由计划	默认		0	0	0	phfW-.10%G	phfW-.10%G					0	1		670168		0	1	0
670169		高级路由计划	默认		0	0	0	LGt_QG	LGt_QG					0	1		670169		0	1	0
670170		高级路由计划	默认		0	0	0	?wnv[:cf_4	?wnv[:cf_4					0	1		670170		0	1	0
670171		高级路由计划	默认		0	0	0	p-h{y;z1`Fc*	p-h{y;z1`Fc*					0	1		670171		0	1	0
670172		高级路由计划	默认		0	0	0	qnwp!+jix0KD	qnwp!+jix0KD					0	1		670172		0	1	0
670173		高级路由计划	默认		0	0	0	>m'9B$w0"xy&	>m'9B$w0"xy&					0	1		670173		0	1	0
670174		高级路由计划	默认		0	0	0	#%E\;A~	#%E\;A~					0	1		670174		0	1	0
670175		高级路由计划	默认		0	0	0	eT`d~9bQcv	eT`d~9bQcv					0	1		670175		0	1	0
670176		高级路由计划	默认		0	0	0	sEHO+	sEHO+					0	1		670176		0	1	0
670177		高级路由计划	默认		0	0	0	iMyFX	iMyFX					0	1		670177		0	1	0
670178		高级路由计划	默认		0	0	0	y<r~Z<`?Zd[g	y<r~Z<`?Zd[g					0	1		670178		0	1	0
670179		高级路由计划	默认		0	0	0	W]"J[GzH	W]"J[GzH					0	1		670179		0	1	0
670180		高级路由计划	默认		0	0	0	ZSraCl2ZZ-	ZSraCl2ZZ-					0	1		670180		0	1	0
670181		高级路由计划	默认		0	0	0	6dFi%:<Q	6dFi%:<Q					0	1		670181		0	1	0
670182		高级路由计划	默认		0	0	0	M!<W"Z:	M!<W"Z:					0	1		670182		0	1	0
670183		高级路由计划	默认		0	0	0	67VD*[9c=f&R	67VD*[9c=f&R					0	1		670183		0	1	0
670184		高级路由计划	默认		0	0	0	kM'M$QKD!S2q	kM'M$QKD!S2q					0	1		670184		0	1	0
670185		高级路由计划	默认		0	0	0	]N_}4pg	]N_}4pg					0	1		670185		0	1	0
670186		高级路由计划	默认		0	0	0	-!|SW?8r++k;	-!|SW?8r++k;					0	1		670186		0	1	0
670187		高级路由计划	默认		0	0	0	p"8!bC9c	p"8!bC9c					0	1		670187		0	1	0
670188		高级路由计划	默认		0	0	0	*~=@F.N<RHZ	*~=@F.N<RHZ					0	1		670188		0	1	0
670189		高级路由计划	默认		0	0	0	_{nE	_{nE					0	1		670189		0	1	0
670190		高级路由计划	默认		0	0	0	M*mU*0y	M*mU*0y					0	1		670190		0	1	0
670191		高级路由计划	默认		0	0	0	/X<L	/X<L					0	1		670191		0	1	0
670192		高级路由计划	默认		0	0	0	ZQlMP^ig	ZQlMP^ig					0	1		670192		0	1	0
670193		高级路由计划	默认		0	0	0	U%b6eg{)	U%b6eg{)					0	1		670193		0	1	0
670194		高级路由计划	默认		0	0	0	J=|_;$1+	J=|_;$1+					0	1		670194		0	1	0
670195		高级路由计划	默认		0	0	0	`kM)NVcQA'	`kM)NVcQA'					0	1		670195		0	1	0
670196		高级路由计划	默认		0	0	0	bFEY5$9V<-%t	bFEY5$9V<-%t					0	1		670196		0	1	0
670197		高级路由计划	默认		0	0	0	~U]jY;}l	~U]jY;}l					0	1		670197		0	1	0
670198		高级路由计划	默认		0	0	0	y>7zsA6y}ub	y>7zsA6y}ub					0	1		670198		0	1	0
670199		高级路由计划	默认		0	0	0	.;Lmsrs]HO	.;Lmsrs]HO					0	1		670199		0	1	0
670200		高级路由计划	默认		0	0	0	Wi4{	Wi4{					0	1		670200		0	1	0
670201		高级路由计划	默认		0	0	0	|iP6*/G	|iP6*/G					0	1		670201		0	1	0
670202		高级路由计划	默认		0	0	0	v,+0	v,+0					0	1		670202		0	1	0
670203		高级路由计划	默认		0	0	0	|hpN>8}?R	|hpN>8}?R					0	1		670203		0	1	0
670204		高级路由计划	默认		0	0	0	'7DaTsd}J]K	'7DaTsd}J]K					0	1		670204		0	1	0
670205		高级路由计划	默认		0	0	0	bxQ,	bxQ,					0	1		670205		0	1	0
670206		高级路由计划	默认		0	0	0	Og3`#v*	Og3`#v*					0	1		670206		0	1	0
670207		高级路由计划	默认		0	0	0	(.Mh\}dk8f	(.Mh\}dk8f					0	1		670207		0	1	0
670208		高级路由计划	默认		0	0	0	~(cUQ.	~(cUQ.					0	1		670208		0	1	0
670209		高级路由计划	默认		0	0	0	wA~D^F	wA~D^F					0	1		670209		0	1	0
670210		高级路由计划	默认		0	0	0	31swqK	31swqK					0	1		670210		0	1	0
670211		高级路由计划	默认		0	0	0	Lp3t	Lp3t					0	1		670211		0	1	0
670212		高级路由计划	默认		0	0	0	)-B'_=)?;jP\	)-B'_=)?;jP\					0	1		670212		0	1	0
670213		高级路由计划	默认		0	0	0	^DP_u#:zZ	^DP_u#:zZ					0	1		670213		0	1	0
670214		高级路由计划	默认		0	0	0	j~<$r+/o	j~<$r+/o					0	1		670214		0	1	0
670215		高级路由计划	默认		0	0	0	Y>B\WL	Y>B\WL					0	1		670215		0	1	0
670216		高级路由计划	默认		0	0	0	*J^7|xQuupA	*J^7|xQuupA					0	1		670216		0	1	0
670217		高级路由计划	默认		0	0	0	cQ/}h"|Fm\\3	cQ/}h"|Fm\\3					0	1		670217		0	1	0
670218		高级路由计划	默认		0	0	0	q#cGj"	q#cGj"					0	1		670218		0	1	0
670219		高级路由计划	默认		0	0	0	@u3TP`q]:ivB	@u3TP`q]:ivB					0	1		670219		0	1	0
670220		高级路由计划	默认		0	0	0	*c69	*c69					0	1		670220		0	1	0
670221		高级路由计划	默认		0	0	0	_>b8*HH	_>b8*HH					0	1		670221		0	1	0
670222		高级路由计划	默认		0	0	0	>YDN_#QLVR	>YDN_#QLVR					0	1		670222		0	1	0
670223		高级路由计划	默认		0	0	0	^Fa>x=	^Fa>x=					0	1		670223		0	1	0
670224		高级路由计划	默认		0	0	0	i<nd:PAsMUX	i<nd:PAsMUX					0	1		670224		0	1	0
670225		高级路由计划	默认		0	0	0	5{r^b:	5{r^b:					0	1		670225		0	1	0
670226		高级路由计划	默认		0	0	0	@{w=semT	@{w=semT					0	1		670226		0	1	0
670227		高级路由计划	默认		0	0	0	l8=ZykP]	l8=ZykP]					0	1		670227		0	1	0
670228		高级路由计划	默认		0	0	0	3WKlu}	3WKlu}					0	1		670228		0	1	0
670229		高级路由计划	默认		0	0	0	~=-+'SE	~=-+'SE					0	1		670229		0	1	0
670230		高级路由计划	默认		0	0	0	O2|2~LlK+l	O2|2~LlK+l					0	1		670230		0	1	0
670231		高级路由计划	默认		0	0	0	w9;Z	w9;Z					0	1		670231		0	1	0
670232		高级路由计划	默认		0	0	0	F~z.%rCf	F~z.%rCf					0	1		670232		0	1	0
670233		高级路由计划	默认		0	0	0	$<[L7D5a	$<[L7D5a					0	1		670233		0	1	0
670234		高级路由计划	默认		0	0	0	xpOFuBcM7y	xpOFuBcM7y					0	1		670234		0	1	0
670235		高级路由计划	默认		0	0	0	n2eFI	n2eFI					0	1		670235		0	1	0
670236		高级路由计划	默认		0	0	0	cQ|zd	cQ|zd					0	1		670236		0	1	0
670237		高级路由计划	默认		0	0	0	ZR3]<1PEqt1	ZR3]<1PEqt1					0	1		670237		0	1	0
670238		高级路由计划	默认		0	0	0	Ll4%!(Ix^\	Ll4%!(Ix^\					0	1		670238		0	1	0
670239		高级路由计划	默认		0	0	0	:.y8	:.y8					0	1		670239		0	1	0
670240		高级路由计划	默认		0	0	0	#F;c1HKW	#F;c1HKW					0	1		670240		0	1	0
670241		高级路由计划	默认		0	0	0	ozsgO{ON+W[V	ozsgO{ON+W[V					0	1		670241		0	1	0
670242		高级路由计划	默认		0	0	0	s/v!U(GGo	s/v!U(GGo					0	1		670242		0	1	0
670243		高级路由计划	默认		0	0	0	rIE)XFGZ=mo	rIE)XFGZ=mo					0	1		670243		0	1	0
670244		高级路由计划	默认		0	0	0	nH5W*f'zO[8	nH5W*f'zO[8					0	1		670244		0	1	0
670245		高级路由计划	默认		0	0	0	optV;;Q	optV;;Q					0	1		670245		0	1	0
670246		高级路由计划	默认		0	0	0	O[0`jNpNq	O[0`jNpNq					0	1		670246		0	1	0
670247		高级路由计划	默认		0	0	0	4gQc>o	4gQc>o					0	1		670247		0	1	0
670248		高级路由计划	默认		0	0	0	zTO\NvZE3fcE	zTO\NvZE3fcE					0	1		670248		0	1	0
670249		高级路由计划	默认		0	0	0	q)C,9Q#c2Yr	q)C,9Q#c2Yr					0	1		670249		0	1	0
670250		高级路由计划	默认		0	0	0	7nLR|	7nLR|					0	1		670250		0	1	0
670251		高级路由计划	默认		0	0	0	_3$`[IMft	_3$`[IMft					0	1		670251		0	1	0
670252		高级路由计划	默认		0	0	0	;Cm%~AvYfy	;Cm%~AvYfy					0	1		670252		0	1	0
670253		高级路由计划	默认		0	0	0	)#:iqqNK#	)#:iqqNK#					0	1		670253		0	1	0
670254		高级路由计划	默认		0	0	0	DB6SW3JC	DB6SW3JC					0	1		670254		0	1	0
670255		高级路由计划	默认		0	0	0	+C*<'C-"9sv	+C*<'C-"9sv					0	1		670255		0	1	0
670256		高级路由计划	默认		0	0	0	3*\`MY	3*\`MY					0	1		670256		0	1	0
670257		高级路由计划	默认		0	0	0	;x]:	;x]:					0	1		670257		0	1	0
670258		高级路由计划	默认		0	0	0	H:45B&;q	H:45B&;q					0	1		670258		0	1	0
670259		高级路由计划	默认		0	0	0	b8R2v3	b8R2v3					0	1		670259		0	1	0
670260		高级路由计划	默认		0	0	0	ltn~1!K.@8c	ltn~1!K.@8c					0	1		670260		0	1	0
670261		高级路由计划	默认		0	0	0	zi*/?|_&	zi*/?|_&					0	1		670261		0	1	0
670262		高级路由计划	默认		0	0	0	]M>6a:	]M>6a:					0	1		670262		0	1	0
670263		高级路由计划	默认		0	0	0	2Vzi[J%AW	2Vzi[J%AW					0	1		670263		0	1	0
670264		高级路由计划	默认		0	0	0	lyX]TIMv^n<	lyX]TIMv^n<					0	1		670264		0	1	0
670265		高级路由计划	默认		0	0	0	Er0"	Er0"					0	1		670265		0	1	0
670266		高级路由计划	默认		0	0	0	h}:sTo[	h}:sTo[					0	1		670266		0	1	0
670267		高级路由计划	默认		0	0	0	|OoHgug~=+#u	|OoHgug~=+#u					0	1		670267		0	1	0
670268		高级路由计划	默认		0	0	0	7id}n_>wo	7id}n_>wo					0	1		670268		0	1	0
670269		高级路由计划	默认		0	0	0	3_d#K	3_d#K					0	1		670269		0	1	0
670270		高级路由计划	默认		0	0	0	6Xp65%;bVR	6Xp65%;bVR					0	1		670270		0	1	0
670271		高级路由计划	默认		0	0	0	Ztk5x->$	Ztk5x->$					0	1		670271		0	1	0
670272		高级路由计划	默认		0	0	0	IW`x9h^BA5RX	IW`x9h^BA5RX					0	1		670272		0	1	0
670273		高级路由计划	默认		0	0	0	&u{8	&u{8					0	1		670273		0	1	0
670274		高级路由计划	默认		0	0	0	C-;*aIr{e\	C-;*aIr{e\					0	1		670274		0	1	0
670275		高级路由计划	默认		0	0	0	uv@5"	uv@5"					0	1		670275		0	1	0
670276		高级路由计划	默认		0	0	0	hMll)u	hMll)u					0	1		670276		0	1	0
670277		高级路由计划	默认		0	0	0	^-$*`	^-$*`					0	1		670277		0	1	0
670278		高级路由计划	默认		0	0	0	Ef^=J`	Ef^=J`					0	1		670278		0	1	0
670279		高级路由计划	默认		0	0	0	UjAfD	UjAfD					0	1		670279		0	1	0
670280		高级路由计划	默认		0	0	0	)"P.lV=>0	)"P.lV=>0					0	1		670280		0	1	0
670281		高级路由计划	默认		0	0	0	Xg1;Pq	Xg1;Pq					0	1		670281		0	1	0
670282		高级路由计划	默认		0	0	0	&}/ysh&!`	&}/ysh&!`					0	1		670282		0	1	0
670283		高级路由计划	默认		0	0	0	,1Vp,@OK	,1Vp,@OK					0	1		670283		0	1	0
670284		高级路由计划	默认		0	0	0	-)F@K[	-)F@K[					0	1		670284		0	1	0
670285		高级路由计划	默认		0	0	0	sqQCs2A~@o6	sqQCs2A~@o6					0	1		670285		0	1	0
670286		高级路由计划	默认		0	0	0	vDYhg!sT2b+	vDYhg!sT2b+					0	1		670286		0	1	0
670287		高级路由计划	默认		0	0	0	tF((0q	tF((0q					0	1		670287		0	1	0
670288		高级路由计划	默认		0	0	0	?3ZH	?3ZH					0	1		670288		0	1	0
670289		高级路由计划	默认		0	0	0	&$X1	&$X1					0	1		670289		0	1	0
670290		高级路由计划	默认		0	0	0	&_6eOE)E0uD	&_6eOE)E0uD					0	1		670290		0	1	0
670291		高级路由计划	默认		0	0	0	>y)[Qx<Jmjf	>y)[Qx<Jmjf					0	1		670291		0	1	0
670292		高级路由计划	默认		0	0	0	AT:@5p4[K	AT:@5p4[K					0	1		670292		0	1	0
670293		高级路由计划	默认		0	0	0	mLrx}0=	mLrx}0=					0	1		670293		0	1	0
670294		高级路由计划	默认		0	0	0	q&;Nb	q&;Nb					0	1		670294		0	1	0
670295		高级路由计划	默认		0	0	0	4w*S=dpjJk	4w*S=dpjJk					0	1		670295		0	1	0
670296		高级路由计划	默认		0	0	0	7{K>P	7{K>P					0	1		670296		0	1	0
670297		高级路由计划	默认		0	0	0	5h|#[5<	5h|#[5<					0	1		670297		0	1	0
670298		高级路由计划	默认		0	0	0	h~ju8zf=l.>	h~ju8zf=l.>					0	1		670298		0	1	0
